167 

1    3    57.0
1    102    64.0
1    5    53.0
1    104    137.0
1    157    80.0
2    4    33.0
2    6    21.0
2    66    30.0
3    157    20.0
3    1    28.0
3    49    26.0
3    104    61.0
4    66    33.0
4    2    44.0
4    128    70.0
5    1    17.0
5    102    19.0
6    2    14.0
6    110    20.0
6    104    30.0
7    85    67.0
7    117    90.0
7    13    49.0
7    11    97.0
7    80    76.0
7    112    180.0
8    125    26.0
8    77    28.0
8    113    19.0
8    9    28.0
8    124    40.0
9    77    16.0
9    8    19.0
9    113    24.0
10    159    174.0
11    7    19.0
11    112    20.0
11    117    17.0
12    78    45.0
12    120    21.0
13    85    15.0
13    7    20.0
13    80    19.0
14    142    29.0
15    127    59.0
16    123    22.0
16    84    34.0
16    122    23.0
17    16    18.0
18    23    24.0
18    86    19.0
18    20    17.0
18    119    20.0
18    132    40.0
18    90    60.0
18    88    30.0
19    21    35.0
19    29    40.0
19    24    45.0
19    30    156.0
19    131    60.0
20    18    18.0
20    88    21.0
20    86    12.0
20    23    38.0
21    29    48.0
21    19    56.0
21    131    100.0
21    24    74.0
21    130    159.0
22    131    32.0
23    119    21.0
23    18    19.0
23    20    30.0
23    132    27.0
23    50    138.0
23    104    457.0
24    19    61.0
24    22    38.0
24    130    19.0
24    131    45.0
24    30    179.0
24    144    321.0
25    27    29.0
26    30    119.0
26    134    33.0
26    131    465.0
26    22    363.0
26    24    284.0
26    29    154.0
26    21    189.0
26    64    278.0
27    136    2766.0
27    87    28.0
28    94    388.0
28    26    45.0
29    30    54.0
29    21    38.0
29    19    158.0
30    64    371.0
30    26    31.0
30    29    52.0
30    21    63.0
30    19    219.0
31    89    21.0
31    138    24.0
32    144    41.0
32    100    38.0
33    34    99.0
34    140    58.0
35    101    58.0
35    145    115.0
35    80    87.0
36    120    23.0
36    148    22.0
37    38    19.0
37    149    41.0
37    51    26.0
38    109    39.0
38    146    28.0
38    37    60.0
38    111    40.0
39    108    6.0
39    41    20.0
39    129    16.0
39    40    20.0
40    41    21.0
40    108    15.0
40    39    17.0
40    42    19.0
41    150    21.0
41    40    25.0
41    39    37.0
41    42    19.0
41    151    40.0
42    150    18.0
42    41    20.0
43    112    37.0
43    46    24.0
43    117    52.0
43    13    126.0
43    114    19.0
44    45    15.0
44    96    40.0
45    156    44.0
45    161    119.0
45    97    35.0
45    96    43.0
45    153    21.0
45    91    70.0
45    92    59.0
46    43    45.0
46    155    56.0
46    152    57.0
46    112    101.0
47    141    34.0
47    115    22.0
47    50    20.0
47    152    47.0
48    49    19.0
48    104    20.0
48    157    20.0
48    107    14.0
48    3    34.0
49    107    26.0
49    157    19.0
49    48    20.0
49    3    18.0
50    47    18.0
50    152    20.0
50    141    17.0
50    119    64.0
51    149    12.0
51    37    20.0
52    59    26.0
52    28    49.0
53    59    20.0
53    52    23.0
54    167    32.0
54    122    35.0
54    124    60.0
55    160    55.0
55    121    25.0
55    56    44.0
55    125    27.0
55    161    120.0
56    55    22.0
56    125    85.0
56    160    26.0
56    8    183.0
57    9    20.0
57    77    20.0
58    10    144.0
59    28    38.0
60    128    19.0
60    67    21.0
60    61    16.0
60    4    57.0
60    49    218.0
61    60    16.0
61    128    10.0
61    67    26.0
61    108    37.0
61    129    23.0
62    76    21.0
62    162    20.0
62    138    30.0
63    65    9.0
63    158    20.0
63    64    20.0
64    131    24.0
64    99    94.0
64    158    147.0
64    98    26.0
64    71    48.0
64    93    42.0
65    72    19.0
65    63    20.0
66    67    27.0
66    4    18.0
66    3    274.0
66    108    130.0
66    60    35.0
67    60    24.0
67    66    22.0
67    4    21.0
67    61    39.0
68    73    126.0
68    70    185.0
68    95    226.0
68    94    173.0
68    154    259.0
69    137    29.0
69    133    20.0
70    95    44.0
70    130    278.0
70    68    136.0
70    71    315.0
70    131    304.0
71    64    40.0
71    99    15.0
71    131    106.0
71    93    20.0
72    74    71.0
72    65    20.0
73    68    180.0
73    93    12.0
74    69    26.0
74    72    19.0
74    137    39.0
75    33    51.0
76    138    22.0
76    62    21.0
76    162    40.0
77    8    23.0
77    124    28.0
77    126    16.0
77    9    19.0
77    56    60.0
77    54    59.0
78    139    105.0
78    12    23.0
78    120    39.0
79    15    54.0
80    145    15.0
80    85    6.0
81    14    37.0
82    81    3.0
83    143    79.0
84    16    33.0
84    144    72.0
84    123    44.0
85    80    14.0
85    7    35.0
85    13    23.0
86    88    19.0
86    18    22.0
86    20    19.0
86    90    39.0
86    23    40.0
87    146    31.0
87    27    38.0
88    20    27.0
88    90    21.0
88    86    19.0
88    18    40.0
88    1    457.0
89    148    47.0
89    31    43.0
89    36    59.0
89    138    58.0
90    88    38.0
90    147    58.0
90    151    77.0
90    86    54.0
